Game,Year,Host,Developer,Genre,Status,Description,URL,NewsGame
Pirate Fishing,2012,Al Jazeera,Altera Studio,Simulation,Live,An interactive documentary exploring illegal fishing off the coast of Sierra Leone.,http://webapps.aljazeera.net/aje/custom/2014/piratefishingdoc/index.html ,TRUE
Point of Entry ,2007,New York Times,Persuasive Games,Strategy,Live,Strategy game that simulates immigration and the process of citizenship. ,http://www.persuasivegames.com/games/files/nyt_immigration/play/,TRUE
Quandary ,2012,Learning Games Network,Learning Games Network,Strategy,Live,Flex your critical thinking and ethical dilemma muscles in this colonization game. ,http://www.quandarygame.org/ ,FALSE
Save the Rhino!,2012,Wired Magazine,Game the News,Shooter,Live,A Cabal!-inspired game where you play a South African soldier hunting poachers.,http://www.wired.co.uk/news/archive/2012-12/07/gamify-today ,TRUE
Science Fighter,2016,GOP Arcade,GOP Arcade,Platformer,Live,A satirical game where religion and science clash in this sidescrolling shooter.,http://www.thegoparcade.com/game/science-fighter,FALSE
Scoople,2011,Scoople,Scoople,Quiz,Unplayable,Social news and quiz-based prediction app. ,http://itunes.apple.com/us/app/scoople/id474606690?mt=8 ,TRUE
September 12th ,2003,Newsgaming.com,Newsgaming.com,Shooter,Live,A game that editorializes on the tedium of the War on Terror.,http://www.newsgaming.com/games/index12.htm ,FALSE
SpaceX,2012,Wired Magazine,Game the News,Strategy,Live,A puzzle game exploring the concept of the SpaceX experimental rocket. ,http://www.wired.co.uk/news/archive/2012-11/19/gamify-today ,TRUE
SPENT ,2011,Urban Ministries of Durham,McKinney,Simulation,Live,Player has to survive a month after being laid off and with little savings.,http://www.umdurham.org/spent.html,FALSE
Spot the Ball,2014,New York Times,New York Times,Quiz,Live,Pick where you think the soccer ball is on the photo. Documents user response.,http://projects.nytimes.com/interactive/sports/worldcup/spot-the-ball/2014/06/17,
Super Mario Bros. BP Oil Spill,2010,Newgrounds,Various,Sidescroller,Live,Parody on BP Oil Spill where Mario has to plug the leaks with fish.,http://www.newgrounds.com/portal/view/555510 ,FALSE
Survive 125,2012,Live 58,Unknown,Simulation,Live,A game much like SPENT that instead focuses on extreme poverty in India.,http://www.live58.org/survive125/ ,FALSE
Sweatshop ,2011,Channel 4 (UK),Little Loud,Strategy,Live,"Strategy game that simulates a sweatshop-style manufacturing plant, modeled after tower defense games. ",http://www.playsweatshop.com/ ,FALSE
Syrian Journey,2015,BBC,BBC,Choose Your Own Adventure,Live,A text-based choose-your-own adventure game where you play the role of a Syrian refugee who has to decide how to get their family safely to Europe.,http://www.bbc.com/news/world-middle-east-32057601,TRUE
Tallanasty,2013,The Miami Herald,The Miami Herald,Quiz,Live,A quiz that explores political ethics in Florida.,http://media.miamiherald.com/static/media/projects/ethics_game/,TRUE
Tax Evaders,2013,Various Organizations,Various Organizations,Arcade,Live,A Space Invader-like game where you fight corporations who are evading their tax obligations.,http://taxevaders.net/,FALSE
The Best Amendment,2013,Molleindustria,Molleindustria,Shooter,Live,You're a good guy with a gun. Kill the bad guys with guns.,http://www.molleindustria.org/the-best-amendment/,FALSE
The Candidate ,2013,John C. Osborn,John C. Osborn,Simulation,Live,A game I made where you play a congressional candidate running for office in 2014. ,http://bayreporta.com/files/candidate/index.html ,FALSE
